,Amplitude
714,28.0
715,27.0
716,26.0
717,23.0
718,22.0
719,25.0
720,25.0
721,21.0
722,24.0
723,24.0
724,27.0
725,25.0
726,23.0
727,24.0
728,26.0
729,26.0
730,26.0
731,24.0
732,23.0
733,21.0
734,18.0
735,22.0
736,30.0
737,32.0
738,30.0
739,24.0
740,23.0
741,25.0
742,19.0
743,26.0
744,30.0
745,28.0
746,24.0
747,31.0
748,38.0
749,34.0
750,31.0
751,27.0
752,23.0
753,23.0
754,24.0
755,25.0
756,29.0
757,29.0
758,25.0
759,30.0
760,29.0
761,26.0
762,30.0
763,31.0
764,31.0
765,26.0
766,27.0
767,27.0
768,26.0
769,26.0
770,23.0
771,21.0
772,27.0
773,26.0
774,21.0
775,19.0
776,20.0
777,28.0
778,33.0
779,29.0
780,27.0
781,26.0
782,27.0
783,27.0
784,26.0
785,24.0
786,27.0
787,28.0
788,30.0
789,30.0
790,25.0
791,21.0
792,21.0
793,30.0
794,31.0
795,27.0
796,31.0
797,26.0
798,19.0
799,20.0
800,26.0
801,30.0
802,29.0
803,27.0
804,25.0
805,28.0
806,26.0
807,25.0
808,25.0
809,29.0
810,31.0
811,29.0
812,26.0
813,26.0
814,29.0
815,31.0
816,31.0
817,31.0
818,28.0
819,31.0
820,31.0
821,31.0
822,30.0
823,35.0
824,34.0
825,30.0
826,27.0
827,16.0
828,22.0
829,25.0
830,26.0
831,27.0
832,29.0
833,34.0
834,32.0
835,30.0
836,29.0
837,28.0
838,32.0
839,31.0
840,28.0
841,26.0
842,24.0
843,23.0
844,21.0
845,24.0
846,22.0
847,27.0
848,26.0
849,26.0
850,27.0
851,26.0
852,23.0
853,26.0
854,29.0
855,26.0
856,25.0
857,29.0
858,27.0
859,26.0
860,21.0
861,26.0
862,29.0
863,27.0
864,26.0
865,24.0
866,20.0
867,21.0
868,23.0
869,28.0
870,28.0
871,26.0
872,27.0
873,28.0
874,28.0
875,26.0
876,28.0
877,28.0
878,25.0
879,27.0
880,28.0
881,27.0
882,24.0
883,27.0
884,29.0
885,28.0
886,29.0
887,27.0
888,25.0
889,28.0
890,26.0
891,28.0
892,24.0
893,24.0
894,21.0
895,19.0
896,21.0
897,26.0
898,30.0
899,35.0
900,31.0
901,24.0
902,26.0
903,25.0
904,27.0
905,25.0
906,28.0
907,29.0
908,28.0
909,28.0
910,27.0
911,30.0
912,26.0
913,28.0
914,26.0
915,22.0
916,22.0
917,22.0
918,25.0
919,27.0
920,24.0
921,24.0
922,26.0
923,27.0
924,27.0
925,26.0
926,26.0
927,27.0
928,29.0
929,27.0
930,24.0
931,21.0
932,18.0
933,16.0
934,22.0
935,28.0
936,28.0
937,30.0
938,27.0
939,29.0
940,30.0
941,28.0
942,26.0
943,27.0
944,25.0
945,23.0
946,19.0
947,13.0
948,16.0
949,20.0
950,19.0
951,17.0
952,16.0
953,22.0
954,21.0
955,23.0
956,22.0
957,24.0
958,23.0
959,20.0
960,21.0
961,21.0
962,20.0
963,20.0
964,21.0
965,26.0
966,30.0
967,28.0
968,26.0
969,24.0
970,22.0
971,21.0
972,25.0
973,26.0
974,23.0
975,23.0
976,23.0
977,26.0
978,29.0
979,29.0
980,26.0
981,26.0
982,27.0
983,33.0
984,35.0
985,35.0
986,36.0
987,30.0
988,24.0
989,22.0
990,24.0
991,21.0
992,26.0
993,29.0
994,30.0
995,24.0
996,21.0
997,25.0
998,23.0
999,20.0
1000,27.0
1001,29.0
1002,27.0
1003,26.0
1004,27.0
1005,26.0
1006,27.0
1007,26.0
1008,25.0
1009,24.0
1010,26.0
1011,27.0
1012,28.0
1013,30.0
1014,30.0
1015,26.0
1016,25.0
1017,27.0
1018,24.0
1019,24.0
1020,30.0
1021,30.0
1022,34.0
1023,28.0
1024,26.0
1025,26.0
1026,30.0
1027,32.0
1028,34.0
1029,28.0
1030,24.0
1031,22.0
1032,25.0
1033,25.0
1034,25.0
1035,26.0
1036,33.0
1037,35.0
1038,30.0
1039,27.0
1040,26.0
1041,25.0
1042,29.0
1043,34.0
1044,30.0
1045,28.0
1046,30.0
1047,30.0
1048,25.0
1049,27.0
1050,28.0
1051,26.0
1052,25.0
1053,27.0
1054,27.0
1055,25.0
1056,31.0
1057,34.0
1058,29.0
1059,30.0
1060,31.0
1061,30.0
1062,28.0
1063,28.0
1064,30.0
1065,26.0
1066,25.0
1067,33.0
1068,34.0
1069,31.0
1070,30.0
1071,32.0
1072,34.0
1073,31.0
1074,27.0
1075,25.0
1076,26.0
1077,28.0
1078,29.0
1079,30.0
1080,32.0
1081,30.0
1082,30.0
1083,33.0
1084,30.0
1085,30.0
1086,30.0
1087,28.0
1088,31.0
1089,36.0
1090,34.0
1091,32.0
1092,30.0
1093,29.0
1094,29.0
1095,28.0
1096,29.0
1097,32.0
1098,31.0
1099,32.0
1100,36.0
1101,31.0
1102,30.0
1103,31.0
1104,33.0
1105,37.0
1106,36.0
1107,35.0
1108,33.0
1109,33.0
1110,33.0
1111,31.0
1112,29.0
1113,34.0
1114,34.0
1115,29.0
1116,31.0
1117,31.0
