,Amplitude
1321,303.0
1322,302.0
1323,303.0
1324,305.0
1325,308.0
1326,313.0
1327,319.0
1328,326.0
1329,335.0
1330,344.0
1331,354.0
1332,365.0
1333,378.0
1334,389.0
1335,402.0
1336,414.0
1337,426.0
1338,438.0
1339,449.0
1340,460.0
1341,470.0
1342,479.0
1343,486.0
1344,493.0
1345,498.0
1346,502.0
1347,505.0
1348,506.0
1349,506.0
1350,504.0
1351,500.0
1352,496.0
1353,490.0
1354,483.0
1355,474.0
1356,465.0
1357,454.0
1358,443.0
1359,432.0
1360,420.0
1361,408.0
1362,396.0
1363,384.0
1364,371.0
1365,361.0
1366,350.0
1367,340.0
1368,331.0
1369,323.0
1370,316.0
1371,310.0
1372,306.0
1373,304.0
1374,303.0
1375,303.0
1376,304.0
1377,307.0
1378,312.0
1379,318.0
1380,325.0
1381,334.0
1382,343.0
1383,353.0
1384,364.0
1385,376.0
1386,388.0
1387,400.0
1388,412.0
1389,424.0
1390,436.0
1391,448.0
1392,459.0
1393,468.0
1394,478.0
1395,486.0
1396,492.0
1397,498.0
1398,502.0
1399,504.0
1400,506.0
1401,506.0
1402,504.0
1403,502.0
1404,497.0
1405,490.0
1406,484.0
1407,475.0
1408,466.0
1409,456.0
1410,445.0
1411,433.0
1412,421.0
1413,409.0
1414,397.0
1415,385.0
1416,373.0
1417,361.0
1418,351.0
1419,341.0
1420,332.0
1421,324.0
1422,317.0
1423,311.0
1424,306.0
1425,304.0
1426,302.0
1427,303.0
1428,305.0
1429,307.0
1430,312.0
1431,318.0
1432,324.0
1433,333.0
1434,342.0
1435,352.0
1436,363.0
1437,374.0
1438,386.0
1439,398.0
1440,411.0
1441,423.0
1442,434.0
1443,446.0
1444,457.0
1445,467.0
1446,477.0
1447,484.0
1448,492.0
1449,497.0
1450,501.0
1451,504.0
1452,506.0
1453,506.0
1454,505.0
1455,501.0
1456,497.0
1457,492.0
1458,485.0
1459,476.0
1460,467.0
1461,457.0
1462,447.0
1463,435.0
1464,423.0
1465,410.0
1466,398.0
1467,386.0
1468,374.0
1469,363.0
1470,352.0
1471,342.0
1472,332.0
1473,325.0
1474,317.0
1475,312.0
1476,307.0
1477,304.0
1478,303.0
1479,303.0
1480,304.0
1481,307.0
1482,311.0
1483,317.0
1484,324.0
1485,332.0
1486,341.0
1487,351.0
1488,361.0
1489,373.0
1490,385.0
1491,397.0
1492,409.0
1493,421.0
1494,433.0
1495,445.0
1496,456.0
1497,466.0
1498,475.0
1499,483.0
1500,491.0
1501,497.0
1502,501.0
1503,504.0
1504,506.0
1505,506.0
1506,505.0
1507,502.0
1508,498.0
1509,492.0
1510,485.0
1511,478.0
1512,468.0
1513,459.0
1514,448.0
1515,436.0
1516,424.0
1517,412.0
1518,400.0
1519,388.0
1520,376.0
1521,364.0
1522,354.0
1523,343.0
1524,334.0
1525,326.0
1526,318.0
1527,312.0
1528,308.0
1529,304.0
1530,303.0
1531,302.0
1532,304.0
1533,306.0
1534,310.0
1535,316.0
1536,323.0
1537,330.0
1538,340.0
1539,350.0
1540,360.0
1541,371.0
1542,383.0
1543,395.0
1544,408.0
1545,420.0
1546,432.0
1547,443.0
1548,455.0
1549,465.0
1550,475.0
1551,482.0
1552,490.0
1553,496.0
1554,501.0
1555,504.0
1556,506.0
1557,506.0
1558,505.0
1559,503.0
1560,498.0
1561,493.0
1562,487.0
1563,479.0
1564,470.0
1565,460.0
1566,449.0
1567,437.0
1568,426.0
1569,414.0
1570,402.0
1571,389.0
1572,378.0
1573,366.0
1574,355.0
1575,345.0
1576,335.0
1577,326.0
1578,319.0
1579,313.0
1580,308.0
1581,305.0
1582,303.0
1583,303.0
1584,304.0
1585,306.0
1586,310.0
1587,315.0
1588,322.0
1589,329.0
1590,338.0
1591,348.0
1592,359.0
1593,370.0
1594,382.0
1595,394.0
1596,406.0
1597,418.0
1598,431.0
1599,442.0
1600,453.0
1601,464.0
1602,473.0
1603,482.0
1604,489.0
1605,495.0
1606,500.0
1607,503.0
1608,506.0
1609,506.0
1610,505.0
1611,503.0
1612,499.0
1613,494.0
1614,487.0
1615,479.0
1616,471.0
1617,461.0
1618,450.0
1619,439.0
1620,427.0
1621,415.0
1622,403.0
1623,391.0
1624,379.0
1625,367.0
1626,356.0
1627,346.0
1628,336.0
1629,328.0
1630,320.0
1631,314.0
1632,309.0
1633,305.0
1634,303.0
1635,302.0
1636,303.0
1637,305.0
1638,309.0
1639,315.0
1640,321.0
1641,329.0
1642,338.0
1643,347.0
1644,358.0
1645,369.0
1646,381.0
1647,392.0
1648,405.0
1649,417.0
1650,429.0
1651,441.0
1652,452.0
1653,463.0
1654,472.0
1655,481.0
1656,488.0
1657,495.0
1658,500.0
1659,503.0
1660,506.0
1661,506.0
1662,505.0
1663,503.0
1664,500.0
1665,494.0
1666,488.0
1667,481.0
1668,472.0
1669,462.0
1670,452.0
1671,441.0
1672,428.0
1673,417.0
1674,404.0
1675,392.0
1676,380.0
1677,368.0
1678,357.0
1679,347.0
1680,337.0
1681,329.0
1682,321.0
1683,314.0
1684,309.0
1685,305.0
1686,303.0
1687,303.0
1688,303.0
1689,305.0
1690,309.0
1691,314.0
1692,320.0
1693,328.0
1694,336.0
1695,346.0
1696,356.0
1697,367.0
1698,379.0
1699,391.0
1700,403.0
1701,415.0
1702,428.0
1703,439.0
1704,451.0
1705,462.0
1706,471.0
1707,480.0
1708,487.0
1709,494.0
1710,499.0
1711,503.0
1712,505.0
1713,506.0
1714,506.0
1715,504.0
1716,500.0
1717,495.0
1718,489.0
1719,482.0
1720,473.0
1721,463.0
1722,453.0
1723,442.0
1724,430.0
1725,418.0
1726,406.0
1727,394.0
1728,382.0
1729,369.0
1730,359.0
1731,348.0
1732,338.0
1733,329.0
1734,322.0
1735,315.0
1736,310.0
1737,305.0
1738,303.0
1739,303.0
1740,303.0
1741,305.0
1742,309.0
1743,313.0
1744,319.0
1745,327.0
1746,335.0
1747,345.0
1748,355.0
1749,366.0
1750,378.0
1751,389.0
1752,402.0
1753,414.0
1754,426.0
1755,438.0
1756,449.0
1757,460.0
1758,470.0
1759,479.0
1760,486.0
1761,493.0
1762,499.0
1763,502.0
1764,505.0
1765,506.0
1766,506.0
1767,504.0
1768,501.0
1769,496.0
1770,490.0
1771,483.0
1772,474.0
1773,464.0
1774,455.0
1775,443.0
1776,431.0
1777,419.0
1778,407.0
1779,395.0
1780,383.0
1781,371.0
1782,360.0
1783,349.0
1784,339.0
1785,330.0
1786,322.0
1787,316.0
1788,310.0
1789,306.0
1790,304.0
1791,303.0
1792,303.0
1793,305.0
1794,308.0
1795,312.0
1796,319.0
1797,326.0
1798,334.0
1799,344.0
1800,354.0
1801,365.0
1802,376.0
1803,388.0
1804,400.0
1805,412.0
1806,425.0
1807,436.0
1808,448.0
1809,459.0
1810,469.0
1811,478.0
1812,486.0
1813,492.0
1814,498.0
1815,502.0
1816,505.0
1817,506.0
1818,506.0
1819,504.0
1820,501.0
1821,497.0
1822,491.0
1823,484.0
1824,475.0
1825,466.0
1826,456.0
1827,445.0
1828,433.0
1829,421.0
1830,409.0
1831,397.0
1832,384.0
1833,373.0
1834,361.0
1835,350.0
1836,340.0
1837,332.0
1838,323.0
1839,316.0
1840,311.0
1841,306.0
1842,304.0
1843,303.0
1844,302.0
1845,304.0
1846,308.0
1847,312.0
1848,318.0
1849,325.0
1850,333.0
1851,342.0
1852,352.0
1853,363.0
1854,375.0
1855,386.0
1856,399.0
1857,411.0
1858,423.0
1859,435.0
1860,447.0
1861,457.0
1862,468.0
1863,476.0
1864,485.0
1865,491.0
1866,497.0
1867,502.0
1868,505.0
1869,506.0
1870,506.0
1871,504.0
1872,501.0
1873,497.0
1874,492.0
1875,484.0
1876,476.0
1877,467.0
1878,457.0
1879,446.0
1880,434.0
1881,422.0
1882,410.0
1883,398.0
1884,386.0
1885,374.0
1886,362.0
1887,352.0
1888,342.0
1889,332.0
1890,324.0
1891,317.0
1892,312.0
1893,307.0
1894,304.0
1895,303.0
1896,303.0
1897,304.0
1898,307.0
1899,311.0
1900,317.0
1901,324.0
1902,332.0
1903,341.0
1904,351.0
1905,362.0
1906,373.0
1907,385.0
1908,397.0
1909,409.0
1910,422.0
1911,434.0
1912,445.0
1913,456.0
1914,467.0
1915,476.0
1916,484.0
1917,491.0
1918,497.0
1919,501.0
1920,504.0
1921,506.0
1922,506.0
1923,505.0
1924,502.0
1925,498.0
1926,492.0
1927,485.0
1928,477.0
1929,468.0
1930,458.0
1931,447.0
1932,436.0
1933,424.0
1934,412.0
1935,400.0
1936,387.0
1937,375.0
1938,364.0
1939,353.0
1940,343.0
1941,334.0
1942,325.0
1943,318.0
1944,312.0
1945,307.0
1946,305.0
1947,303.0
1948,302.0
1949,304.0
1950,307.0
1951,311.0
1952,316.0
1953,323.0
1954,331.0
1955,340.0
1956,350.0
1957,361.0
1958,372.0
1959,384.0
1960,396.0
1961,408.0
1962,420.0
1963,432.0
1964,444.0
1965,455.0
1966,465.0
1967,474.0
1968,483.0
1969,490.0
1970,496.0
1971,501.0
1972,504.0
1973,506.0
1974,506.0
1975,505.0
1976,502.0
1977,498.0
1978,493.0
1979,486.0
1980,479.0
1981,469.0
1982,459.0
1983,448.0
1984,437.0
1985,425.0
1986,413.0
1987,401.0
1988,389.0
1989,377.0
1990,365.0
1991,354.0
1992,344.0
1993,334.0
1994,326.0
1995,319.0
1996,313.0
1997,308.0
1998,305.0
1999,303.0
2000,303.0
2001,304.0
2002,306.0
2003,310.0
2004,315.0
2005,322.0
2006,330.0
2007,339.0
2008,349.0
2009,359.0
2010,370.0
2011,382.0
2012,394.0
2013,406.0
2014,419.0
2015,431.0
2016,443.0
2017,454.0
2018,464.0
2019,473.0
2020,482.0
2021,489.0
2022,495.0
2023,500.0
2024,504.0
2025,506.0
2026,506.0
2027,505.0
2028,503.0
2029,499.0
2030,494.0
2031,487.0
2032,479.0
2033,471.0
2034,460.0
2035,450.0
2036,439.0
2037,426.0
2038,415.0
2039,403.0
2040,390.0
2041,378.0
2042,367.0
2043,356.0
2044,346.0
2045,336.0
2046,327.0
2047,320.0
2048,314.0
2049,308.0
2050,305.0
2051,303.0
2052,302.0
2053,303.0
2054,306.0
2055,309.0
2056,315.0
2057,321.0
2058,329.0
2059,338.0
2060,347.0
2061,358.0
2062,369.0
2063,381.0
2064,393.0
2065,405.0
2066,417.0
2067,429.0
2068,441.0
2069,453.0
2070,463.0
2071,472.0
2072,481.0
2073,488.0
2074,495.0
2075,500.0
2076,503.0
2077,506.0
2078,506.0
2079,505.0
2080,503.0
2081,500.0
2082,494.0
2083,488.0
2084,481.0
2085,472.0
2086,462.0
2087,452.0
2088,440.0
2089,428.0
2090,416.0
2091,404.0
2092,392.0
2093,380.0
2094,368.0
2095,357.0
2096,347.0
2097,337.0
2098,328.0
2099,320.0
2100,314.0
2101,309.0
2102,305.0
2103,303.0
2104,303.0
2105,303.0
2106,305.0
2107,309.0
2108,314.0
2109,320.0
2110,328.0
2111,337.0
2112,346.0
2113,356.0
2114,368.0
2115,379.0
2116,391.0
2117,404.0
2118,416.0
2119,428.0
2120,440.0
2121,451.0
2122,461.0
2123,471.0
2124,480.0
2125,488.0
2126,494.0
2127,499.0
2128,503.0
2129,506.0
2130,506.0
2131,506.0
2132,503.0
2133,500.0
2134,495.0
2135,489.0
2136,481.0
2137,473.0
2138,463.0
