Indice,Anular,Anular filtered
-46451,17.30421742,16.79869173
-46446,22.26135494,16.76336809
-46450,18.21847837,16.72483696
-46448,20.17558791,16.68341068
-46446,22.13268373,16.63939124
-46448,20.08976601,16.5930697
-46452,16.04683494,16.54472558
-46449,19.00389069,16.49462635
-46455,12.96093344,16.44302696
-46451,16.91796337,16.3901694
-46455,12.87498063,16.3362823
-46446,21.83198542,16.28158063
-46452,15.78897788,16.22626539
-46453,14.74595821,16.17052339
-46454,13.70292655,16.11452701
-46455,12.65988307,16.05843415
-46452,15.61682795,16.00238802
-46456,11.57376133,15.94651722
-46450,17.53068338,15.89093564
-46448,19.48759426,15.83574257
-46453,14.44449413,15.78102276
-46449,18.40138314,15.72684659
-46451,16.35826145,15.67327022
-46453,14.3151292,15.62033586
-46454,13.27198656,15.56807198
-46452,15.22883366,15.51649366
-46455,12.18567066,15.46560292
-46450,17.1424977,15.4153891
-46457,10.09931493,15.36582929
-46452,15.0561225,15.31688874
-46451,16.01292054,15.26852139
-46450,16.96970919,15.22067034
-46451,15.9264886,15.1732684
-46452,14.88325891,15.12623866
-46454,12.84002024,15.07949506
-46451,15.79677274,15.03294299
-46455,11.75351653,14.98647993
-46445,21.71025176,14.93999608
-46452,14.66697855,14.89337499
-46451,15.62369702,14.84649426
-46453,13.58040731,14.7992262
-46457,9.537109546,14.75143848
-46454,12.49380385,14.70299488
-46456,10.45049034,14.65375589
-46453,13.40716914,14.60357948
-46452,14.36384037,14.55232174
-46449,17.32050416,14.49983756
-46451,15.27716062,14.4459813
-46452,14.23380987,14.39060751
-46456,10.19045201,14.33357152
-46444,22.14708718,14.2747301
-46454,12.10371547,14.21394212
-46458,8.060337005,14.15106912
-46453,13.01695189,14.08597596
-46447,18.97356023,14.01853133
-46453,12.93016213,13.94860837
-46453,12.8867577,13.87608517
-46453,12.84334705,13.80084527
-46452,13.79993027,13.72277819
-46449,16.75650747,13.64177985
-46456,9.713078747,13.55775303
-46454,11.6696442,13.47060774
-46457,8.626203929,13.38026166
-46455,10.58275803,13.28664042
-46452,13.53930659,13.18967797
-46454,11.49584971,13.08931683
-46445,20.45238749,12.9855084
-46451,14.40892001,12.87821311
-46448,17.36544737,12.76740069
-46453,12.32196964,12.65305029
-46451,14.27848693,12.53515063
-46453,12.23499931,12.41370009
-46452,13.19150688,12.28870679
-46453,12.1480097,12.16018863
-46453,12.10450787,12.02817329
-46453,12.06100146,11.89269821
-46449,16.01749055,11.75381056
-46456,8.97397523,11.61156712
-46453,11.93045556,11.46603423
-46451,13.88693163,11.3172876
-46455,9.843403504,11.16541217
-46452,12.79987126,11.01050194
-46454,10.75633496,10.85265974
-46459,5.712794693,10.69199699
-46452,12.66925051,10.52863346
-46458,6.625702497,10.36269697
-46452,12.58215071,10.19432314
-46456,8.538595216,10.02365498
-46456,8.495036086,9.850842665
-46455,9.451473382,9.676043093
-46458,6.40790717,9.499419564
-46454,10.36433751,9.321141389
-46454,10.32076447,9.141383488
-46458,6.277188106,8.960325997
-46456,8.233608481,8.778153841
-46456,8.190025655,8.59505632
-46454,10.14643969,8.411226671
-46454,10.10285063,8.226861636
-46452,12.05925855,8.042161016
-46455,9.015663498,7.857327232
-46455,8.97206553,7.672564871
-46457,6.928464698,7.488080242
-46455,8.884861058,7.304080931
-46459,4.841254661,7.120775351
-46457,6.797645559,6.938372299
-46460,3.754033803,6.75708052
-46459,4.710419444,6.577108271
-46458,5.66680253,6.398662892
-46467,-3.376816887,6.221950385
-46460,3.579561241,6.047175002
-46459,4.535936962,5.874538837
-46460,3.492310327,5.704241435
-46458,5.448681383,5.536479405
-46461,2.405050178,5.371446048
-46459,4.361416759,5.209330992
-46458,5.317781175,5.050319849
-46459,4.274143471,4.894593874
-46456,7.230503694,4.742329647
-46461,2.186861889,4.59369876
-46461,2.143218102,4.448867529
-46456,7.099572377,4.307996711
-46460,3.055924759,4.171241244
-46463,0.012275292,4.038749997
-46456,6.96862402,3.910665539
-46462,0.924970985,3.78712392
-46450,12.88131623,3.668254477
-46460,2.837659799,3.554179642
-46462,0.794001732,3.445014781
-46461,1.750342071,3.340868034
-46456,6.706680857,3.241840188
-46460,2.663018131,3.14802455
-46462,0.619353932,3.059506843
-46458,4.5756883,2.976365122
-46459,3.532021276,2.898669696
-46458,4.488352898,2.82648307
-46456,6.444683206,2.759859905
-46460,2.401012237,2.698846986
-46462,0.35734003,2.643483208
-46460,2.313666623,2.593799577
-46458,4.269992052,2.549819224
-46457,5.226316355,2.511557428
-46457,5.182639569,2.479021662
-46455,7.138961729,2.452211637
-46458,4.095282872,2.431119373
-46460,2.051603033,2.415729273
-46459,3.007922246,2.406018211
-46454,7.964240545,2.401955628
-46463,-1.079442035,2.403503644
-46462,-0.123125461,2.410617178
